date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:20:53	6595/6595	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min.js?ver=2.9.4	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.minf0c3.js	(from https://live-tvs.shop/)
18:20:56	139191/139191	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/lib/swiper/swiper.min48f5.js	(from https://live-tvs.shop/)
18:20:56	20787/20787	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2020%20May%202021%2000:23:22%20GMT	https://live-tvs.shop/wp-includes/js/jquery/ui/core.min.js?ver=1.12.1	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-includes/js/jquery/ui/core.min35d0.js	(from https://live-tvs.shop/)
18:20:57	10695/10695	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js?ver=4.7.6	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/lib/dialog/dialog.minae9e.js	(from https://live-tvs.shop/)
18:20:58	2029/2029	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2027%20May%202021%2017:20:57%20GMT	http://js.hs-scripts.com/20125423.js	C:/Users/pc/Desktop/site777/js.hs-scripts.com/20125423.js	(from https://live-tvs.shop/)
18:21:00	116076/116076	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=2.9.8	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/js/frontend.min4315.js	(from https://live-tvs.shop/)
18:21:05	181432/181432	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.6.2	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons2cbf.eot	(from https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.6.2)
18:21:07	80132/80132	---M--	200	added ('OK')	font/woff2	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2?5.6.2	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons2cbf.woff2	(from https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.6.2)
18:21:10	97116/97116	---M--	200	added ('OK')	font/woff	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff?5.6.2	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons2cbf.woff	(from https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.6.2)
18:21:15	181272/181272	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2020%20May%202021%2000:23:20%20GMT	https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf?5.6.2	C:/Users/pc/Desktop/site777/live-tvs.shop/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons2cbf.ttf	(from https://live-tvs.shop/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.6.2)
